num,beer_num,beer_name,brewery,style,abv,ibu,ph_act,ph_V,alc_gas,turb_V
12,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,562,3.99
13,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,563,3.99
14,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,565,3.99
15,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,570,3.99
16,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,567,3.99
17,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,570,3.99
18,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,570,3.99
19,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,573,3.99
20,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,566,3.99
21,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,569,3.99
22,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,571,3.99
23,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,573,3.99
24,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,566,3.99
25,31,Squatch Rocket,No-Li,Hazy IPA,5.2,30,4.7,3.11,568,3.99
1,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.27
2,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,552,4.27
3,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
4,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,553,4.27
5,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
6,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.27
7,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.27
8,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,552,4.26
9,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,554,4.26
10,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,552,4.26
11,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
12,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.27
13,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,552,4.26
14,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
15,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,554,4.26
16,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
17,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,552,4.26
18,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,552,4.26
19,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
20,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
21,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
22,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
23,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,552,4.26
24,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,551,4.26
25,41,Montucky Cold Snack,Montucky Cold Sanck,Lager,4.1,-,4.22,3.16,549,4.26
1,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.36,3.15,553,4.21
2,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.35,3.15,556,4.21
3,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.35,3.15,557,4.22
4,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.35,3.15,556,4.22
5,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.35,3.15,557,4.22
6,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.35,3.15,561,4.22
7,42,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,4.35,3.15,560,4.22
