num,beer_num,beer_name,brewery,style,abv,ibu,ph_act,ph_V,alc_gas,turb_V,ntu,,r,g,b,c
16,11,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,5.08,3.07,556,2.64,2997.86,,,,,
17,11,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,5.05,3.07,559,2.51,3000.92,,,,,
18,11,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,5.05,3.07,562,2.39,3000,,,,,
19,11,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,5.05,3.07,563,2.29,3000,,,,,
20,11,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,5.05,3.07,559,2.08,3000,,,,,
21,11,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,5.01,3.08,556,1.87,3000,,,,,
22,11,Pabst Blue Ribbon,Pabst Brewing Company,Lager,4.8,10,5.01,3.08,557,1.71,3000,,,,,
1,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,6,2.97,461,1.65,3000,,,,,
2,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.75,2.99,531,1.46,3000,,,,,
3,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.58,3.01,546,1.53,3000,,,,,
4,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.45,3.03,553,1.4,3000,,,,,
5,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.33,3.04,554,0.96,3000,,,,,
6,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.27,3.05,556,0.68,3000,,,,,
7,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.18,3.06,559,2.27,3000,,,,,
8,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.14,3.06,559,1.86,3000,,,,,
9,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,5.07,3.07,559,1.52,3000,,,,,
